title,label,label_score,title_cleaned,label_encoded,label_score_normalized
Menkum HAM Sudah Kaji Draf Revisi UU KPK,non-clickbait,0,menkum ham sudah kaji draf revisi uu kpk,1,0.0
MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta,non-clickbait,0,mpr gelar diskusi evaluasi pelaksanaan uud di yogyakarta,1,0.0
Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur,clickbait,1,kocak maling di rumah mewah jakut terekam cctv bingung cari jalan kabur,0,1.0
KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik,non-clickbait,0,kpk tanggapi dpr penegakan hukum tak boleh terikat komitmen politik,1,0.0
Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan,non-clickbait,0,pengacara sebut dakwaan kivlan zen dipaksakan,1,0.0
Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri,non-clickbait,0,polisi belanda tembak mati istri dan putrinya lalu bunuh diri,1,0.0
6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel,non-clickbait,0,perampok bersebo tembak warga hingga tewas di sumsel,1,0.0
"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia",non-clickbait,0,tepis jadi penyebab tunggal kabut asap ri akan surati malaysia,1,0.0
"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya",non-clickbait,0,jokowi diminta mekarkan wilayah papua jk ada undangundangnya,1,0.0
"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi",clickbait,1,viral video diduga baku tembak di sleman ini kata polisi,0,1.0
Kadis PU dan 2 PNS Kabupaten Mandailing Natal Ditahan Kejati Sumut,non-clickbait,0,kadis pu dan pns kabupaten mandailing natal ditahan kejati sumut,1,0.0
"Banding Ditolak, Hak Politik Eks Bupati Katingan Dicabut Hakim",non-clickbait,0,banding ditolak hak politik eks bupati katingan dicabut hakim,1,0.0
"Kecelakaan Beruntun 4 Kendaraan di Lenteng Agung, 2 Pemotor Luka-luka",non-clickbait,0,kecelakaan beruntun kendaraan di lenteng agung pemotor lukaluka,1,0.0
"KPK Bongkar Mafia Migas: Transaksi Lintas Negara, Tak Mudah Diungkap",non-clickbait,0,kpk bongkar mafia migas transaksi lintas negara tak mudah diungkap,1,0.0
"Diawasi di Hong Kong, Aktivis Joshua Wong Terbang ke Berlin",non-clickbait,0,diawasi di hong kong aktivis joshua wong terbang ke berlin,1,0.0
Anggota DPRD Surabaya Gadaikan SK Sebagai Jaminan untuk Potong Gaji,non-clickbait,0,anggota dprd surabaya gadaikan sk sebagai jaminan untuk potong gaji,1,0.0
Ical Jenguk BJ Habibie di RSPAD: Kita Doakan yang Terbaik,non-clickbait,0,ical jenguk bj habibie di rspad kita doakan yang terbaik,1,0.0
175 Orang dan 4 Korporasi Jadi Tersangka Karhutla di Sumatera-Kalimantan,non-clickbait,0,orang dan korporasi jadi tersangka karhutla di sumaterakalimantan,1,0.0
Fenomena Gadai SK Anggota Dewan Juga Terjadi di DPRD Serang,non-clickbait,0,fenomena gadai sk anggota dewan juga terjadi di dprd serang,1,0.0
Akademisi dan Mahasiswa Unair Tolak Revisi UU KPK,non-clickbait,0,akademisi dan mahasiswa unair tolak revisi uu kpk,1,0.0
"Pegawai KPK Surati Fraksi di DPR, Minta Tak Pilih Capim yang Lemahkan KPK",non-clickbait,0,pegawai kpk surati fraksi di dpr minta tak pilih capim yang lemahkan kpk,1,0.0
"Waspada! Ada Penipuan Catut Pertamina, Korbannya Rugi Puluhan Juta",clickbait,1,waspada ada penipuan catut pertamina korbannya rugi puluhan juta,0,1.0
Ekoturisme: Pelajaran Besar dari Negara Kecil,non-clickbait,0,ekoturisme pelajaran besar dari negara kecil,1,0.0
"Refleksi 5 Tahun DPD RI, OSO: Kami Ada untuk Daerah",non-clickbait,0,refleksi tahun dpd ri oso kami ada untuk daerah,1,0.0
MUI Riau: Pelaku Karhutla Orang Tak Taat Beragama,non-clickbait,0,mui riau pelaku karhutla orang tak taat beragama,1,0.0
Penyelundupan 19.253 Benih Lobster Tujuan Singapura Digagalkan di Makassar,non-clickbait,0,penyelundupan benih lobster tujuan singapura digagalkan di makassar,1,0.0
"Kecelakaan Beruntun dan Truk Terbakar di Cipularang, 2 Orang Luka",non-clickbait,0,kecelakaan beruntun dan truk terbakar di cipularang orang luka,1,0.0
"Banyak Berita Negatif, HNW Khawatirkan Moral Bangsa Indonesia",non-clickbait,0,banyak berita negatif hnw khawatirkan moral bangsa indonesia,1,0.0
KPK Harap Jeratan Eks Dirut Petral Bisa Buka Kotak Pandora Mafia Migas,non-clickbait,0,kpk harap jeratan eks dirut petral bisa buka kotak pandora mafia migas,1,0.0
Hamas Tembak Jatuh Drone Israel di Jalur Gaza,non-clickbait,0,hamas tembak jatuh drone israel di jalur gaza,1,0.0
JPU Keberatan Kivlan Zen Didampingi Kuasa Hukum dari Militer,non-clickbait,0,jpu keberatan kivlan zen didampingi kuasa hukum dari militer,1,0.0
"Jaksa Beberkan Senpi-Peluru Tajam Pembelian Kivlan Zen cs, Ini Rinciannya",clickbait,1,jaksa beberkan senpipeluru tajam pembelian kivlan zen cs ini rinciannya,0,1.0
Dishub Minta Polda Data Kebutuhan E-TLE di Area Perluasan Ganjil Genap,non-clickbait,0,dishub minta polda data kebutuhan etle di area perluasan ganjil genap,1,0.0
Polisi Olah TKP Kecelakaan Maut Tewaskan 3 Orang di Nganjuk,non-clickbait,0,polisi olah tkp kecelakaan maut tewaskan orang di nganjuk,1,0.0
"Uang Miliaran Rupiah Milik Pemprov Sumut Hilang, Polisi Turun Tangan",non-clickbait,0,uang miliaran rupiah milik pemprov sumut hilang polisi turun tangan,1,0.0
Menkum HAM soal Cabut Paspor Veronica Koman: Ada Ketentuannya,non-clickbait,0,menkum ham soal cabut paspor veronica koman ada ketentuannya,1,0.0
Sering Quality Time Bersama Keluarga? Ternyata Ini 3 Manfaatnya!,clickbait,1,sering quality time bersama keluarga ternyata ini manfaatnya,0,1.0
"Menteri Jokowi 55% Profesional, Ini Kandidatnya?",clickbait,1,menteri jokowi profesional ini kandidatnya,0,1.0
LIPI Desak Jokowi Tolak Revisi UU KPK yang Lumpuhkan Kinerja KPK,non-clickbait,0,lipi desak jokowi tolak revisi uu kpk yang lumpuhkan kinerja kpk,1,0.0
"Kasus Penyerangan Ditutup, Pemotor Naik Trotoar Tetap Ditilang",non-clickbait,0,kasus penyerangan ditutup pemotor naik trotoar tetap ditilang,1,0.0
Bareskrim Tangkap 2 Pembobol yang Rugikan Bank BUMN Rp 16 Miliar,non-clickbait,0,bareskrim tangkap pembobol yang rugikan bank bumn rp miliar,1,0.0
"Datang ke Pembekalan Caleg Terpilih Demokrat, SBY Beri Arahan Tertutup",non-clickbait,0,datang ke pembekalan caleg terpilih demokrat sby beri arahan tertutup,1,0.0
Aktivis Perempuan Nilai RUU PKS Tersandera oleh RUU KUHP,non-clickbait,0,aktivis perempuan nilai ruu pks tersandera oleh ruu kuhp,1,0.0
"Belum Teridentifikasi, 4 Korban Kecelakaan Cipularang Diduga Perempuan",non-clickbait,0,belum teridentifikasi korban kecelakaan cipularang diduga perempuan,1,0.0
Siswi SMK Bandung Ditikam Dekat Sekolah karena Tolak Cinta Pelaku,non-clickbait,0,siswi smk bandung ditikam dekat sekolah karena tolak cinta pelaku,1,0.0
"Jika Tak Kunjung Penuhi Panggilan, Veronica Koman Bakal Jadi DPO",non-clickbait,0,jika tak kunjung penuhi panggilan veronica koman bakal jadi dpo,1,0.0
"Pria Misterius Berjubah Putih Viral di Sumut, Ingatkan 'Tuhan Murka'",clickbait,1,pria misterius berjubah putih viral di sumut ingatkan tuhan murka,0,1.0
Polisi Simpulkan Bos Sembako di Cilegon Tewas Bunuh Diri,non-clickbait,0,polisi simpulkan bos sembako di cilegon tewas bunuh diri,1,0.0
Menengok Pantai Mustika Banyuwangi,non-clickbait,0,menengok pantai mustika banyuwangi,1,0.0
"Asap Pekat Selimuti Riau, Pemprov Gelar Salat Minta Hujan Besok",non-clickbait,0,asap pekat selimuti riau pemprov gelar salat minta hujan besok,1,0.0
"Soal Kontrak Politik Capim KPK, Fahri Sebut Agar Taat Undang-Undang",non-clickbait,0,soal kontrak politik capim kpk fahri sebut agar taat undangundang,1,0.0
Caketum HIPMI: Pengusaha RI Harus Punya Jiwa Nasionalisme yang Kuat,non-clickbait,0,caketum hipmi pengusaha ri harus punya jiwa nasionalisme yang kuat,1,0.0
"KPU Solo Ajukan Dana Rp 17,8 M untuk Pilwalkot 2020",non-clickbait,0,kpu solo ajukan dana rp untuk pilwalkot,1,0.0
Utusan Khusus Presiden akan Gelar Munas Tokoh Antaragama,non-clickbait,0,utusan khusus presiden akan gelar munas tokoh antaragama,1,0.0
"Panggil Veronica Koman, Polisi Tunggu Hingga Dua Pekan ke Depan",non-clickbait,0,panggil veronica koman polisi tunggu hingga dua pekan ke depan,1,0.0
KPK Tetapkan Eks Pejabat Pertamina Energy Tersangka Mafia Migas,non-clickbait,0,kpk tetapkan eks pejabat pertamina energy tersangka mafia migas,1,0.0
"Dipeluk Istri Sebelum Jalani Sidang, Kivlan Zen Menangis",non-clickbait,0,dipeluk istri sebelum jalani sidang kivlan zen menangis,1,0.0
"Video Porno di Sumedang Disebar Pemeran Pria, Apa Motifnya?",clickbait,1,video porno di sumedang disebar pemeran pria apa motifnya,0,1.0
"ICW: Jangan Pertaruhkan KPK, Pak Jokowi",non-clickbait,0,icw jangan pertaruhkan kpk pak jokowi,1,0.0
Terungkap! Video Porno di Sumedang Diperankan Pasangan Selingkuh,clickbait,1,terungkap video porno di sumedang diperankan pasangan selingkuh,0,1.0
"Bocah di Bekasi Disebut Tewas karena Bully, KPAD Imbau Keluarga Melapor",non-clickbait,0,bocah di bekasi disebut tewas karena bully kpad imbau keluarga melapor,1,0.0
JK soal Revisi UU KPK: Penuntutan Tak Perlu Koordinasi dengan Jaksa Agung,non-clickbait,0,jk soal revisi uu kpk penuntutan tak perlu koordinasi dengan jaksa agung,1,0.0
Komisi III DPR Pastikan Tampung Semua Masukan soal Capim KPK,non-clickbait,0,komisi iii dpr pastikan tampung semua masukan soal capim kpk,1,0.0
"Tokoh Papua yang Diundang Jokowi Eks Timses, Istana: Kebetulan Saja",non-clickbait,0,tokoh papua yang diundang jokowi eks timses istana kebetulan saja,1,0.0
Wagub Jabar Minta Pekerja di Lingkungan Pemprov Jabar Daftar BPJS TK,non-clickbait,0,wagub jabar minta pekerja di lingkungan pemprov jabar daftar bpjs tk,1,0.0
Anak dan Cucu Berkumpul Temani BJ Habibie di RSPAD Gatot Soebroto,non-clickbait,0,anak dan cucu berkumpul temani bj habibie di rspad gatot soebroto,1,0.0
"Gara-gara Puntung Rokok, 28 Hektare Lahan di Sulteng Terbakar",non-clickbait,0,garagara puntung rokok hektare lahan di sulteng terbakar,1,0.0
"Topan Faxai Hantam Jepang, 17.000 Penumpang Telantar di Bandara Narita",non-clickbait,0,topan faxai hantam jepang penumpang telantar di bandara narita,1,0.0
"Gajah Mengamuk Ketika Ikut Festival Agama di Sri Lanka, 18 Terluka",non-clickbait,0,gajah mengamuk ketika ikut festival agama di sri lanka terluka,1,0.0
"Waduk Pacal di Bojonegoro Surut, Lahan Pertanian di 4 Kecamatan Kekeringan",non-clickbait,0,waduk pacal di bojonegoro surut lahan pertanian di kecamatan kekeringan,1,0.0
Komisi III DPR Gelar RDPU Tampung Masukan soal Seleksi Capim KPK,non-clickbait,0,komisi iii dpr gelar rdpu tampung masukan soal seleksi capim kpk,1,0.0
"HUT ke-70, Brigif Raider 13 Ziarah ke Makam Bupati Galuh Ciamis",non-clickbait,0,hut ke brigif raider ziarah ke makam bupati galuh ciamis,1,0.0
Pesan KPK ke Jokowi: Pembangunan Tak Tercapai Jika Masih Digerogoti Korupsi,non-clickbait,0,pesan kpk ke jokowi pembangunan tak tercapai jika masih digerogoti korupsi,1,0.0
40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,non-clickbait,0,perguruan tinggi muhammadiyah seindonesia tolak revisi uu kpk,1,0.0
1.904 Pelanggar Ditilang di Hari Perdana Perluasan Ganjil-Genap Kemarin,non-clickbait,0,pelanggar ditilang di hari perdana perluasan ganjilgenap kemarin,1,0.0
4 Bulan Lagi Polrestabes Surabaya Punya Tempat Parkir Bertingkat,non-clickbait,0,bulan lagi polrestabes surabaya punya tempat parkir bertingkat,1,0.0
"Sepekan Dilantik, Anggota DPRD Jabar Gadai SK ke Bank",non-clickbait,0,sepekan dilantik anggota dprd jabar gadai sk ke bank,1,0.0
"Poyuono: Jelas, Pemerintah-DPR Revisi UU KPK Agar Mudah Rampok Uang Negara",non-clickbait,0,poyuono jelas pemerintahdpr revisi uu kpk agar mudah rampok uang negara,1,0.0
Ratusan Mahasiswa Surabaya Dukung Revisi UU KPK,non-clickbait,0,ratusan mahasiswa surabaya dukung revisi uu kpk,1,0.0
Abraham Samad: Jokowi Harus Minta DPR Setop Pembahasan Revisi UU KPK,non-clickbait,0,abraham samad jokowi harus minta dpr setop pembahasan revisi uu kpk,1,0.0
Satgas Karhutla Investigasi Penyebab Kebakaran Kebun Tebu PTPN VII Ogan Ilir,non-clickbait,0,satgas karhutla investigasi penyebab kebakaran kebun tebu ptpn vii ogan ilir,1,0.0
"Fenomena Anggota Dewan Gadaikan SK, di DPRD Surabaya Juga Ada",non-clickbait,0,fenomena anggota dewan gadaikan sk di dprd surabaya juga ada,1,0.0
Anies Anggap Perbaikan Udara Jakarta Lewat Ganjil Genap Tak Bisa Instan,non-clickbait,0,anies anggap perbaikan udara jakarta lewat ganjil genap tak bisa instan,1,0.0
"Tepis Kabar Bully, Polisi Sebut Bocah Meninggal di Bekasi Akibat Tetanus",non-clickbait,0,tepis kabar bully polisi sebut bocah meninggal di bekasi akibat tetanus,1,0.0
Tokoh Papua Bicara ke Jokowi soal Persaingan Penduduk dan Lingkungan,non-clickbait,0,tokoh papua bicara ke jokowi soal persaingan penduduk dan lingkungan,1,0.0
"Kritik Revisi UU KPK, Rektor IPB-Pemuka Agama Tolak Pelemahan KPK",non-clickbait,0,kritik revisi uu kpk rektor ipbpemuka agama tolak pelemahan kpk,1,0.0
Menggalang Pembiayaan Ibu Kota Baru,non-clickbait,0,menggalang pembiayaan ibu kota baru,1,0.0
Pasukan Kostrad Dikerahkan untuk Tangkap Pelaku Karhutla di Riau,non-clickbait,0,pasukan kostrad dikerahkan untuk tangkap pelaku karhutla di riau,1,0.0
"Kendaraan Listrik Bebas dari Aturan Ganjil-Genap, Ini Alasannya",clickbait,1,kendaraan listrik bebas dari aturan ganjilgenap ini alasannya,0,1.0
Satu-satunya Korban Selamat Kecelakaan Maut di Nganjuk Diciduk Kasus Narkoba,non-clickbait,0,satusatunya korban selamat kecelakaan maut di nganjuk diciduk kasus narkoba,1,0.0
"Home Industry Arak di Sidoarjo Digerebek, Dua Orang Diamankan",non-clickbait,0,home industry arak di sidoarjo digerebek dua orang diamankan,1,0.0
"Jokowi ke Papua Lagi Paling Telat Oktober, Resmikan Jembatan Holtekamp",non-clickbait,0,jokowi ke papua lagi paling telat oktober resmikan jembatan holtekamp,1,0.0
Trump Umumkan Perundingan Damai dengan Taliban Sudah Mati,non-clickbait,0,trump umumkan perundingan damai dengan taliban sudah mati,1,0.0
"Menanti ""Kebijakan Gila"" Jokowi",clickbait,1,menanti kebijakan gila jokowi,0,1.0
Jokowi Janjikan 1.000 Sarjana Papua Bekerja di BUMN-Perusahaan Besar,non-clickbait,0,jokowi janjikan sarjana papua bekerja di bumnperusahaan besar,1,0.0
Ibu Bayi yang Kaki-Tangannya Putus di Tangerang Serahkan Diri ke Polisi,non-clickbait,0,ibu bayi yang kakitangannya putus di tangerang serahkan diri ke polisi,1,0.0
Melihat ke Belakang Pengusutan KPK soal Mafia Migas terkait Petral,non-clickbait,0,melihat ke belakang pengusutan kpk soal mafia migas terkait petral,1,0.0
Banyuwangi dan Perawat Kolaborasi Bikin Sehat Usaha Wisata Warga,non-clickbait,0,banyuwangi dan perawat kolaborasi bikin sehat usaha wisata warga,1,0.0
Dua Korban Kecelakaan Maut di Nganjuk Ternyata DPO Kasus Narkoba,non-clickbait,0,dua korban kecelakaan maut di nganjuk ternyata dpo kasus narkoba,1,0.0
Kabut Asap Bikin Penerbangan di Banjarmasin Terganggu,non-clickbait,0,kabut asap bikin penerbangan di banjarmasin terganggu,1,0.0
Tokoh Papua Minta Jokowi Bangun Istana Presiden di Papua,non-clickbait,0,tokoh papua minta jokowi bangun istana presiden di papua,1,0.0
Jaksa KPK Minta MA Tolak PK Novanto,non-clickbait,0,jaksa kpk minta tolak pk novanto,1,0.0
Akhirnya! Pemkot Pekanbaru Liburkan SD dan SMP karena Kabut Asap,clickbait,1,akhirnya pemkot pekanbaru liburkan sd dan smp karena kabut asap,0,1.0
"Tata Cara Umroh, Urutan, dan Bacaannya",non-clickbait,0,tata cara umroh urutan dan bacaannya,1,0.0
"40 Persen Dewan Ciamis Gadaikan SK, Ketua: Daripada Mencuri Uang Negara",non-clickbait,0,persen dewan ciamis gadaikan sk ketua daripada mencuri uang negara,1,0.0
Seputar Kecelakaan Maut di Jalur Nganjuk-Madiun yang Tewaskan 3 Orang,non-clickbait,0,seputar kecelakaan maut di jalur nganjukmadiun yang tewaskan orang,1,0.0
PJ Walkot Makassar Sebut Rilis Edaran Antisipasi Syiah Rekomendasi MUI,non-clickbait,0,pj walkot makassar sebut rilis edaran antisipasi syiah rekomendasi mui,1,0.0
"Dipimpin Ibas, Demokrat Gelar Pembekalan Anggota Legislatif 2019-2024",non-clickbait,0,dipimpin ibas demokrat gelar pembekalan anggota legislatif,1,0.0
Jokowi: Tahun Depan Istana Presiden di Papua Mulai Dibangun,non-clickbait,0,jokowi tahun depan istana presiden di papua mulai dibangun,1,0.0
Jokowi Undang Tokoh Papua ke Istana Hari Ini,non-clickbait,0,jokowi undang tokoh papua ke istana hari ini,1,0.0
China Geram Atas Pernyataan Menlu AS Soal Perlakuan terhadap Uighur,non-clickbait,0,china geram atas pernyataan menlu soal perlakuan terhadap uighur,1,0.0
OSO soal Revisi UU KPK: Tentunya Kita Tidak akan Melemahkan,non-clickbait,0,oso soal revisi uu kpk tentunya kita tidak akan melemahkan,1,0.0
"154 Pelanggar Ditilang di Jakbar, Alasannya Tidak Tahu Ganjil Genap",non-clickbait,0,pelanggar ditilang di jakbar alasannya tidak tahu ganjil genap,1,0.0
Gubernur Khofifah Gandeng ISEI Kembangkan One Pesantren One Product,non-clickbait,0,gubernur khofifah gandeng isei kembangkan one pesantren one product,1,0.0
SBY Jenguk BJ Habibie di RSPAD Gatot Soebroto,non-clickbait,0,sby jenguk bj habibie di rspad gatot soebroto,1,0.0
"HUT Ke-74, TNI AL Akan Terus Tingkatkan SDM untuk Indonesia Maju",non-clickbait,0,hut ke tni al akan terus tingkatkan sdm untuk indonesia maju,1,0.0
"Buka Luwur Sunan Kudus, Ribuan Paket Nasi Berkat Dibagikan",non-clickbait,0,buka luwur sunan kudus ribuan paket nasi berkat dibagikan,1,0.0
PDIP Nilai Pidato Kontemplasi SBY Sejalan dengan Ide Jokowi,non-clickbait,0,pdip nilai pidato kontemplasi sby sejalan dengan ide jokowi,1,0.0
"2 Ribu Hektare Lahan Terbakar, Udara di Palembang Tidak Sehat!",clickbait,1,ribu hektare lahan terbakar udara di palembang tidak sehat,0,1.0
Pelemahan KPK dan Masa Depan Demokrasi Kita,non-clickbait,0,pelemahan kpk dan masa depan demokrasi kita,1,0.0
KPK Panggil Wakil Ketua Komisi XI Terkait Kasus Anggota DPR F-PAN,non-clickbait,0,kpk panggil wakil ketua komisi xi terkait kasus anggota dpr fpan,1,0.0
Kabut Asap Pekat di Riau Tak Ganggu Penerbangan,non-clickbait,0,kabut asap pekat di riau tak ganggu penerbangan,1,0.0
Petugas Cek Pajak Pelanggar Ganjil Genap Hingga Bagi-bagi Cokelat,non-clickbait,0,petugas cek pajak pelanggar ganjil genap hingga bagibagi cokelat,1,0.0
Tim Pelajar DKI Raih Juara Dua di Olimpiade Metropolis Moskow,non-clickbait,0,tim pelajar dki raih juara dua di olimpiade metropolis moskow,1,0.0
"Status Tersangka Veronica Koman Disoal, Polri: Ada Praperadilan",non-clickbait,0,status tersangka veronica koman disoal polri ada praperadilan,1,0.0
"Viral Bocah di Bekasi Disebut Tewas Akibat Bully, Begini Kata Ketua RT",clickbait,1,viral bocah di bekasi disebut tewas akibat bully begini kata ketua rt,0,1.0
Pemkab Ponorogo Ajukan 531 Formasi untuk CPNS dan P3K,non-clickbait,0,pemkab ponorogo ajukan formasi untuk cpns dan pk,1,0.0
"Masih Ada Yang Tak Tahu Ganjil Genap, Dishub: Sosialisasi Sudah Maksimal",non-clickbait,0,masih ada yang tak tahu ganjil genap dishub sosialisasi sudah maksimal,1,0.0
Dishub DKI: Perluasan Ganjil Genap Tingkatkan Pengguna Sepeda Motor,non-clickbait,0,dishub dki perluasan ganjil genap tingkatkan pengguna sepeda motor,1,0.0
"Anggota DPRD Banten Ramai-ramai Gadai SK, Ini Kata Kemendagri",clickbait,1,anggota dprd banten ramairamai gadai sk ini kata kemendagri,0,1.0
"Asap Karhutla Tambah Parah, Jarak Pandang di Riau 800 Meter",non-clickbait,0,asap karhutla tambah parah jarak pandang di riau meter,1,0.0
"Perluasan Ganjil Genap, Dishub: Volume Lalu Lintas Turun Signifikan",non-clickbait,0,perluasan ganjil genap dishub volume lalu lintas turun signifikan,1,0.0
Aktor Intelektual Rusuh Papua Dicari Satu-satu,non-clickbait,0,aktor intelektual rusuh papua dicari satusatu,1,0.0
KPK Umumkan Tersangka Kasus Mafia Migas Terkait Petral Siang Ini,non-clickbait,0,kpk umumkan tersangka kasus mafia migas terkait petral siang ini,1,0.0
"Puntung Rokok, Pembalut Bekas, Ada Ratusan Kilo Sampah di Pantai Gold Coast",non-clickbait,0,puntung rokok pembalut bekas ada ratusan kilo sampah di pantai gold coast,1,0.0
"Asap Pekat Kepung Pekanbaru, Polantas Bagikan Masker ke Pengendara",non-clickbait,0,asap pekat kepung pekanbaru polantas bagikan masker ke pengendara,1,0.0
Santri di Probolinggo Sambut 10 Muharam dengan Pawai Obor,non-clickbait,0,santri di probolinggo sambut muharam dengan pawai obor,1,0.0
"Yuk 'Bantu Jokowi Cari Menteri', Ikuti Polling di detikcom!",clickbait,1,yuk bantu jokowi cari menteri ikuti polling di detikcom,0,1.0
Beda 2 Eks Komisioner KPAI Soal Polemik dengan PB Djarum,non-clickbait,0,beda eks komisioner kpai soal polemik dengan pb djarum,1,0.0
Ratusan Keluarga di Queensland Mengungsi Hindari Kebakaran yang Kian Memburuk,non-clickbait,0,ratusan keluarga di queensland mengungsi hindari kebakaran yang kian memburuk,1,0.0
Penerapan Tilang Elektronik di Busway Ditargetkan Oktober 2019,non-clickbait,0,penerapan tilang elektronik di busway ditargetkan oktober,1,0.0
"Dangdutan Maut Tewaskan 2 Pria di Bekasi, 4 Pelaku Ditangkap",non-clickbait,0,dangdutan maut tewaskan pria di bekasi pelaku ditangkap,1,0.0
